$Barley
      value groups
Fe   1.0925      a
P.Fe 0.7805      b
P    0.6715      b
C    0.6560      b

$Cucumber
         value groups
Fe   0.7142857      a
C    0.5600000      b
P.Fe 0.3742857      c
P    0.3150000      c

$Maize
         value groups
C    0.2181250      a
P    0.1918750     ab
P.Fe 0.1785714     ab
Fe   0.1306667      b

$Tomato
         value groups
C    0.3395455      a
Fe   0.3063636      a
P.Fe 0.1310000      b
P    0.1078261      b

