Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
 -P/-Fe;-12.8942857142857;a;-15.7042857142857;a;-15.2457142857143;a;-16.1157142857143;a;-16.6128571428571;a;-16.3428571428571;a;-17.15;a
 -Fe;-13.2557142857143;a;-15.8214285714286;a;-15.7214285714286;ab;-16.3485714285714;a;-16.9414285714286;a;-17.2014285714286;b;-17.3128571428571;a
C;-13.42;a;-15.9671428571429;a;-16.2014285714286;b;-16.8485714285714;a;-17.7771428571429;b;-17.46;bc;-17.8557142857143;b
 -P;-13.5571428571429;a;-15.9714285714286;a;-16.3357142857143;b;-16.8628571428571;a;-17.8828571428571;b;-17.8585714285714;c;-17.9614285714286;b
