Species_Tissue;Time;Treatment;Mean;S.Err
Tomato_Root;8;P;-35.3009;0.3868
Tomato_Root;10;P;-35.2924;0.1451
Tomato_Root;13;P;-35.2346;0.1724
Tomato_Root;0;Fe;-33.1826;0.1899
Tomato_Root;1;Fe;-34.2495;0.2745
Tomato_Root;3;Fe;-36.2244;0.1174
Tomato_Root;6;Fe;-37.0189;0.0731
Tomato_Root;8;Fe;-37.6836;0.0655
Tomato_Root;10;Fe;-37.9875;0.1126
Tomato_Root;13;Fe;-38.1403;0.0436
Tomato_Root;0;P/Fe;-32.7286;0.325
Tomato_Root;1;P/Fe;-33.6883;0.5186
Tomato_Root;3;P/Fe;-36.0851;0.2867
Tomato_Root;6;P/Fe;-36.2883;0.0515
Tomato_Root;8;P/Fe;-36.479;0.1575
Tomato_Root;10;P/Fe;-36.5876;0.1401
Tomato_Root;13;P/Fe;-36.2764;0.1566
Tomato_Shoot;0;C;-34.16;0.34
Tomato_Shoot;1;C;-36.84;0.22
Tomato_Shoot;3;C;-38.3;0.09
Tomato_Shoot;6;C;-37.92;0.05
Tomato_Shoot;8;C;-38.74;0.05
Tomato_Shoot;10;C;-39.35;0.08
Tomato_Shoot;13;C;-39.02;0.09
Tomato_Shoot;0;P;-35.63;0.21
Tomato_Shoot;1;P;-37.21;0.16
Tomato_Shoot;3;P;-38.27;0.07
Tomato_Shoot;6;P;-36.85;0.27
Tomato_Shoot;8;P;-36.78;0.29
Tomato_Shoot;10;P;-36.69;0.17
Tomato_Shoot;13;P;-36.72;0.14
Tomato_Shoot;0;Fe;-35.5;0.44
Tomato_Shoot;1;Fe;-37.45;0.07
Tomato_Shoot;3;Fe;-38.17;0.08
Tomato_Shoot;6;Fe;-38.02;0.05
Tomato_Shoot;8;Fe;-38.58;0.09
Tomato_Shoot;10;Fe;-39.03;0.1
Tomato_Shoot;13;Fe;-39.11;0.07
Tomato_Shoot;0;P/Fe;-35.28;0.18
Tomato_Shoot;1;P/Fe;-35.83;0.65
Tomato_Shoot;3;P/Fe;-37.85;0.22
Tomato_Shoot;6;P/Fe;-37.18;0.07
Tomato_Shoot;8;P/Fe;-37.29;0.14
Tomato_Shoot;10;P/Fe;-37.35;0.08
Tomato_Shoot;13;P/Fe;-36.87;0.18
