Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
C;-34.1628571428571;a;-35.8285714285714;a;-37.8485714285714;a;-36.8528571428571;a;-36.7771428571429;a;-36.6914285714286;a;-36.72;a
 -P/-Fe;-35.2842857142857;ab;-36.8385714285714;ab;-38.1728571428571;a;-37.18;a;-37.2914285714286;a;-37.35;b;-36.8728571428571;a
 -Fe;-35.5014285714286;b;-37.2057142857143;ab;-38.27;a;-37.9142857142857;b;-38.58;b;-39.0342857142857;c;-39.0228571428571;b
 -P;-35.6328571428571;b;-37.45;b;-38.3014285714286;a;-38.0185714285714;b;-38.7442857142857;b;-39.3542857142857;c;-39.1128571428571;b
