Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-34.7871428571429;a;-32.4157142857143;a;-32.91;a;-34.65;a
2;-35.4028571428571;ab;-33.7842857142857;b;-34.3585714285714;ab;-35.2285714285714;ab
14;-35.5171428571429;ab;-34.1528571428571;b;-34.53;bc;-35.68;b
5;-35.9971428571429;bc;-34.5757142857143;bc;-34.6357142857143;bc;-35.8828571428571;b
9;-36.1314285714286;bc;-35.32;cd;-35.1128571428571;bc;-36.1728571428571;b
12;-36.3885714285714;c;-35.9685714285714;d;-35.76;bc;-36.2;b
7;-36.4085714285714;c;-36.2771428571429;d;-35.9357142857143;c;-36.2128571428571;b
