Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-12.4828571428571;a;-12.4842857142857;a;-12.2457142857143;a;-12.2071428571429;a
2;-13.4314285714286;ab;-13.2171428571429;a;-13.7085714285714;b;-13.4314285714286;b
4;-13.6357142857143;ab;-13.2814285714286;a;-13.8857142857143;bc;-13.5828571428571;b
7;-14.47;bc;-14.8857142857143;b;-14.8285714285714;cd;-14.5957142857143;c
11;-15.1971428571429;c;-15.54;bc;-15.28;d;-15.66;d
9;-15.2628571428571;cd;-15.7657142857143;bc;-15.3714285714286;d;-15.99;d
14;-16.4114285714286;d;-15.9857142857143;c;-16.7385714285714;e;-16.1785714285714;d
