Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-13.2557142857143;a;-13.5571428571429;a;-12.8942857142857;a;-13.42;a
4;-15.2457142857143;b;-15.8214285714286;b;-15.7042857142857;b;-15.9671428571429;b
2;-15.9714285714286;bc;-16.2014285714286;bc;-15.7214285714286;b;-16.3357142857143;bc
7;-16.1157142857143;c;-16.8628571428571;cd;-16.3485714285714;bc;-16.8485714285714;c
11;-16.3428571428571;c;-17.46;de;-16.9414285714286;c;-17.7771428571429;d
9;-16.6128571428571;cd;-17.8828571428571;e;-17.2014285714286;c;-17.8557142857143;d
14;-17.15;d;-17.9614285714286;e;-17.3128571428571;c;-17.8585714285714;d
