Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-27.7142857142857;a;-27.8314285714286;a;-27.4871428571429;a;-27.37;a
2;-28.7828571428571;a;-29.84;b;-30.8428571428571;b;-28.7371428571429;a
4;-31.6985714285714;b;-33.0128571428571;c;-32.44;b;-31.5042857142857;b
7;-33.32;bc;-34.6528571428571;cd;-35.1885714285714;c;-34.0014285714286;c
11;-34.3057142857143;cd;-35.1814285714286;d;-35.8628571428571;cd;-34.7514285714286;c
9;-34.9271428571429;cd;-35.8928571428571;de;-35.9114285714286;cd;-34.8742857142857;cd
14;-35.7485714285714;d;-37.31;e;-37.6771428571429;d;-36.55;d
