Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
C;-31.55;a;-33.0142857142857;a;-35.2542857142857;a;-35.4614285714286;a;-35.3014285714286;a;-35.2914285714286;a;-35.2357142857143;a
 -P;-32.6657142857143;b;-33.1714285714286;a;-35.3628571428571;ab;-36.29;b;-36.4785714285714;b;-36.5871428571429;b;-36.2757142857143;b
 -P/-Fe;-32.7285714285714;b;-33.6885714285714;a;-36.0842857142857;ab;-36.3557142857143;b;-37.38;bc;-37.9728571428571;c;-37.5142857142857;c
 -Fe;-33.1814285714286;b;-34.2514285714286;a;-36.2228571428571;b;-37.02;b;-37.6828571428571;c;-37.9871428571429;c;-38.14;d
