Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
 -Fe;-30.8957142857143;a;-32.7342857142857;a;-35.33;a;-37.1614285714286;a;-37.9385714285714;a;-38.2071428571429;a;-39.0685714285714;a
 -P;-31.0542857142857;a;-33.3957142857143;a;-35.41;a;-37.2128571428571;a;-38.1128571428571;a;-38.2371428571429;a;-39.1028571428571;a
 -P/-Fe;-31.0642857142857;a;-33.5628571428571;a;-35.5157142857143;a;-37.44;a;-38.15;a;-38.4685714285714;a;-39.3157142857143;a
C;-31.1642857142857;a;-33.5771428571429;a;-35.6742857142857;a;-37.6285714285714;a;-38.1557142857143;a;-38.5942857142857;a;-39.3285714285714;a
