Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
C;-27.37;a;-28.7371428571429;a;-31.5042857142857;a;-33.32;a;-34.7514285714286;a;-34.3057142857143;a;-35.7485714285714;a
 -P/-Fe;-27.4871428571429;a;-28.7828571428571;a;-31.6985714285714;a;-34.0014285714286;ab;-34.9271428571429;a;-34.8742857142857;ab;-36.55;ab
 -Fe;-27.7142857142857;a;-29.84;ab;-32.44;a;-34.6528571428571;ab;-35.1814285714286;a;-35.8928571428571;b;-37.31;b
 -P;-27.8314285714286;a;-30.8428571428571;b;-33.0128571428571;a;-35.1885714285714;b;-35.8628571428571;a;-35.9114285714286;b;-37.6771428571429;b
