Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
 -P/-Fe;-34.3585714285714;a;-35.1128571428571;a;-35.76;a;-35.9357142857143;a;-34.1528571428571;a;-33.7842857142857;a;-32.4157142857143;a
 -P;-34.5757142857143;a;-35.2285714285714;a;-35.9685714285714;a;-36.2;a;-34.53;a;-34.6357142857143;ab;-32.91;a
C;-34.65;a;-35.32;a;-35.9971428571429;a;-36.2771428571429;a;-36.1314285714286;b;-35.8828571428571;bc;-35.5171428571429;b
 -Fe;-34.7871428571429;a;-35.4028571428571;a;-36.1728571428571;a;-36.4085714285714;a;-36.2128571428571;b;-36.3885714285714;c;-35.68;b
