Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
 -P/-Fe;-33.05;a;-33.9242857142857;a;-34.6328571428571;a;-34.1571428571429;a;-32.8828571428571;a;-32.32;a;-30.0428571428571;a
 -P;-33.3228571428571;a;-34.1471428571429;a;-34.8228571428571;a;-34.1771428571429;a;-32.9457142857143;ab;-32.4071428571429;a;-30.9228571428571;a
C;-33.7157142857143;a;-34.3614285714286;a;-34.95;a;-34.2328571428571;a;-34.31;bc;-34.6185714285714;b;-33.6714285714286;b
 -Fe;-34.0442857142857;a;-34.3828571428571;a;-35.2071428571429;a;-34.3614285714286;a;-34.7;c;-34.6885714285714;b;-34.3428571428571;b
