Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
2;-33.9242857142857;a;-30.0428571428571;a;-30.9228571428571;a;-33.6714285714286;a
0;-34.0442857142857;a;-32.32;b;-32.4071428571429;ab;-33.7157142857143;a
9;-34.31;a;-32.8828571428571;bc;-32.9457142857143;bc;-34.1771428571429;ab
14;-34.3428571428571;a;-33.3228571428571;bc;-33.05;bc;-34.3828571428571;ab
7;-34.3614285714286;a;-34.1471428571429;cd;-34.1571428571429;bc;-34.6885714285714;ab
12;-34.6185714285714;a;-34.2328571428571;cd;-34.3614285714286;c;-34.7;ab
5;-34.95;a;-34.8228571428571;d;-34.6328571428571;c;-35.2071428571429;b
