Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-33.1814285714286;a;-32.6657142857143;a;-32.7285714285714;a;-31.55;a
1;-34.2514285714286;b;-33.0142857142857;a;-33.6885714285714;a;-33.1714285714286;b
3;-36.2228571428571;c;-35.2357142857143;b;-36.0842857142857;b;-35.3628571428571;c
7;-37.02;d;-35.2542857142857;b;-36.2757142857143;b;-36.3557142857143;c
9;-37.6828571428571;de;-35.2914285714286;b;-36.29;b;-37.38;d
11;-37.9871428571429;e;-35.3014285714286;b;-36.4785714285714;b;-37.5142857142857;d
14;-38.14;e;-35.4614285714286;b;-36.5871428571429;b;-37.9728571428571;d
