Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3;Value.4;groups.4;Value.5;groups.5;Value.6;groups.6
C;-12.2071428571429;a;-13.2171428571429;a;-13.2814285714286;a;-14.47;a;-15.2628571428571;a;-15.1971428571429;a;-15.9857142857143;a
 -P/-Fe;-12.2457142857143;a;-13.4314285714286;a;-13.5828571428571;a;-14.5957142857143;a;-15.28;a;-15.3714285714286;a;-16.1785714285714;a
 -Fe;-12.4828571428571;a;-13.4314285714286;a;-13.6357142857143;a;-14.8285714285714;a;-15.66;a;-15.54;a;-16.4114285714286;ab
 -P;-12.4842857142857;a;-13.7085714285714;a;-13.8857142857143;a;-14.8857142857143;a;-15.7657142857143;a;-15.99;a;-16.7385714285714;b
