Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-35.5014285714286;a;-35.6328571428571;a;-35.2842857142857;a;-34.1628571428571;a
1;-37.45;b;-36.6914285714286;b;-35.8285714285714;ab;-36.8385714285714;b
7;-38.0185714285714;bc;-36.72;b;-36.8728571428571;bc;-37.9142857142857;c
3;-38.1728571428571;bc;-36.7771428571429;b;-37.18;c;-38.3014285714286;cd
9;-38.58;cd;-36.8528571428571;b;-37.2914285714286;c;-38.7442857142857;de
11;-39.0342857142857;d;-37.2057142857143;b;-37.35;c;-39.0228571428571;de
14;-39.1128571428571;d;-38.27;c;-37.8485714285714;c;-39.3542857142857;e
