Value;groups;Value.1;groups.1;Value.2;groups.2;Value.3;groups.3
0;-30.8957142857143;a;-31.0542857142857;a;-31.0642857142857;a;-31.1642857142857;a
2;-33.3957142857143;b;-33.5628571428571;b;-33.5771428571429;b;-32.7342857142857;b
4;-35.33;c;-35.41;c;-35.6742857142857;c;-35.5157142857143;c
7;-37.1614285714286;d;-37.44;d;-37.6285714285714;d;-37.2128571428571;d
9;-37.9385714285714;d;-38.1557142857143;de;-38.15;d;-38.1128571428571;d
11;-38.2071428571429;d;-38.5942857142857;ef;-38.4685714285714;de;-38.2371428571429;d
14;-39.3157142857143;e;-39.1028571428571;f;-39.0685714285714;e;-39.3285714285714;e
